adm0_name,iso3,X,Y,published,year ,info,airline
Abyei,"SDN, SSD",28.415755,9.786952,null,,null,null
Afghanistan,AFG,66.026881,33.831602,null,,null,null
Aksai Chin,"AKS, CHN",79.132432,35.030488,null,,null,null
Åland Islands,ALA,19.80946,60.15449,null,,null,null
Albania,ALB,20.066643,41.138926,null,,null,null
Algeria,DZA,2.678028,28.157361,20.04.2020,2020,Date officielle de la reprise de ses vols : Air Algérie se prononce,.Air Algerie
American Samoa,ASM,-170.71806,-14.300686,null,,null,null
Andorra,AND,1.576279,42.545479,null,,null,null
Angola,AGO,17.577532,-12.337524,27.03.2020,,TAAG 15-day scheduled service suspension from 20MAR20,TAAG
Anguilla,AIA,-63.054596,18.214755,null,,null,null
Antarctica,ATA,21.475857,-80.408977,null,,null,null
Antigua and Barbuda,ATG,-61.799256,17.077306,null,,null,null
Argentina,ARG,-63.578123,-31.578414,30.03.2020,,Aerolineas Argentinas 01APR20 – 10APR20 DOMESTIC operations as of 29MAR20,.Aerolineas Argentinas
Armenia,ARM,44.938387,40.295005,null,,null,null
Aruba,ABW,-69.970272,12.50911,null,,null,null
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,null,,null,null
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,null,,null,null
Australia,AUS,134.354708,-25.573209,24.03.2020,2020,Tigerair Australia will ground all their domestic services effective immediately.,Tigerair Australia
Austria,AUT,14.141702,47.58705,29.04.2020,2020,Austrian Airlines extends flight suspensions until 31 May,Austrian Airlines
Azerbaijan,AZE,50.010647,40.392295,31.03.2020,2020,Azerbaijan Airlines operations from 26MAR20,.Azerbajan Airlines
Azores Islands,PRT,-25.494913,37.77694,null,,null,null
Bahamas,BHS,-78.051117,24.695466,null,,null,null
Bahrain,BHR,50.547509,26.054724,04.04.2020,2020,Gulf Air says transit open again via Bahrain for international travelers,.Gulf Air
Baker Island,UMI,-176.47834,0.194787,null,,null,null
Bangladesh,BGD,90.28042,23.927884,05.03.2020,2020,US-Bangla Airlines reduces Guangzhou service,US Bangla
Barbados,BRB,-59.53546,13.13996,null,,null,null
Bassas da India,xFR,39.748618,-21.46322,null,,null,null
Belarus,BLR,28.0494,53.541933,01.04.2020,2020,Belavia suspends flights to Moscow airports until 30 April because of COVID-19,Belavia
Belgium,BEL,4.660713,50.640947,28.03.2020,2020,Air Antwerp intends to resume service between Antwerp and London City on 4 May,Air Antwerp
Belize,BLZ,-88.708794,17.19908,null,,null,null
Benin,BEN,2.339979,9.653766,null,,null,null
Bermuda,BMU,-64.785473,32.279828,null,,null,null
Bhutan,BTN,90.427775,27.395175,13.05.2020,2020,Druk Air 13 – 31MAY20 operations as of 13MAY20,.Druk Air
Bi'r Tawīl,"SDN, EGY",33.687997,21.888666,null,,null,null
Bird Island,VEN,-63.617377,15.668231,null,,null,null
Bolivia,BOL,-64.662243,-16.712734,null,,null,null
Bonaire,BES,-68.308064,12.226704,null,,null,null
Bosnia and Herzegovina,BIH,17.785036,44.168219,16.03.2020,2020,Flights suspended Flights from Sarajevo International Airport,"Aegean, Lufthansa, Pegasus"
Botswana,BWA,23.813802,-22.188101,null,,null,null
Bouvet Island,BVT,3.363476,-54.421105,null,,null,null
Brazil,BRA,-53.089656,-10.772064,24.03.2020,2020,"Gol reduces network, maintains service to all Brazilian capital cities",Gol
British Virgin Islands,VGB,-64.59433,18.430285,null,,null,null
Brunei,BRN,114.628856,4.49737,18.03.2020,2020,"Royal Brunei Airlines has announced a significantly reduced flight schedule, and will be suspending their direct flight from Brunei to London from 0010 on 22 March.",Royal Brunei
Bulgaria,BGR,25.237625,42.757311,08.04.2020,2020,Wizz Air cancels all of its flights connecting Sofia to Lisbon from 9-13 April ,Wizz
Burkina Faso,BFA,-1.735501,12.273481,20.03.2020,2020,All flights canceled from 21MAR20,Air Burkina
Burundi,BDI,29.890813,-3.366382,null,,null,null
Cambodia,KHM,104.922836,12.711638,08.04.2020,2020,Cambodia Airways plans Hong Kong service from June 2020,Cambodia Airways
Cameroon,CMR,12.751782,5.69612,null,,null,null
Canada,CAN,-102.46617,58.040219,24.04.2020,2020,WestJet 05MAY20 – 04JUN20 Domestic operations as of 24APR20,.West Jet
Romania,ROU,24.984983,45.838878,11.05.2020,2020,TAROM week of 10MAY20 operations,.TAROM
Russia,RUS,99.014058,61.618998,31.03.2020,2020,Ural Airlines Feb – June 2020 International/Regional service cancellations as of 30MAR20,Ural Airlines
Turkey,TUR,35.432387,38.988934,06.05.2020,2020,Turkish Airlines schedules Almaty / Kyiv service eff. 28MAY20,.Turkish Airlines
Turkmenistan,TKM,58.978766,40.091235,24.04.2020,2020,Turkmenistan Airlines April/May 2020 Domestic service,.Turkmenistan Airlines
Turks and Caicos Islands,TCA,-72.002714,21.928412,null,,null,null
Tuvalu,TUV,177.152792,-7.222228,null,,null,null
Uganda,UGA,32.391004,1.279556,19.03.2020,2020,"Uganda Airlines suspends flights to Kilimanjaro, Mogadishu, Mombasa and Zanzibar because of COVID-19 ",Uganda Airlines
Ukraine,UKR,31.40147,49.005714,14.03.2020,2020,"Ukraine International Airlines has suspended most operations until at least April 3, 2020.",UIA
United Arab Emirates,ARE,53.982339,23.434112,24.04.2020,2020,Air Arabia Abu Dhabi gets approval to start operations,.Air Arabia
United Kingdom,GBR,-0.239652,52.24861,29.04.2020,2020,Aurigny April/May 2020 Interim operations as of 28APR20,.Aurigny
United Republic of Tanzania,TZA,34.804265,-6.26364,null,,null,null
United States,USA,-99.446708,39.40399,30.04.2020,2020,Silver Airways moves Charleston SC launch to July 2020,.Silver Airways
United States Virgin Islands,VIR,-64.819501,17.728014,null,,null,null
Uruguay,URY,-56.017306,-32.796996,null,,null,null
Uzbekistan,UZB,63.119445,41.775605,29.04.2020,2020,Uzbekistan Airways closes flight reservations up to 30JUN20,Uzbekistan Airways
Vanuatu,VUT,166.872606,-15.241809,null,,null,null
Venezuela,VEN,-66.154434,7.122874,null,,null,null
Vietnam,VNM,105.802499,10.096431,05.04.2020,2020,Bamboo Airways 01APR20 – 15APR20 domestic service changes,.Bamboo Airways
Wake Island,WAK,166.646462,19.278314,null,,null,null
Wallis and Futuna,WLF,-176.20431,-13.285184,null,,null,null
West Bank,PSE,35.256944,31.943484,null,,null,null
Western Sahara,ESH,-13.135324,24.662235,null,,null,null
Yemen,YEM,45.226272,15.225552,null,,null,null
Zambia,ZMB,27.854152,-14.594525,30.04.2020,2020,Zambia Airways launch delayed again due to COVID-19,Zambia Airways
Zimbabwe,ZWE,29.869096,-19.000755,14.04.2020,2020,FastJet plans new routes from July 2020,.Fastjet Zimbabwe
Rwanda,RWA,29.923106,-1.999837,08.05.2020,2020," Extends the temporary suspension of passenger flights until May 15th, 2020 when further updates will be provided.",Rwandair
Saba,ANT,-63.237736,17.631336,null,,null,null
Saint Barthélemy,BLM,-62.831638,17.896055,null,,null,null
Saint Helena,SHN,-14.367084,-7.943579,null,,null,null
Saint Kitts and Nevis,KNA,-62.765706,17.33978,null,,null,null
Saint Lucia,LCA,-60.967282,13.898456,null,,null,null
Saint Martin,MAF,-63.049372,18.082975,null,,null,null
Saint Pierre et Miquelon,SPM,-56.321676,46.855208,null,,null,null
Saint Vincent and the Grenadines,VCT,-61.189064,13.251505,null,,null,null
Samoa,WSM,-172.44726,-13.620773,21.03.2020,2020,"Flights between Samoa, Australia suspended until further notice because of COVID-19; flights between Apia, Auckland restricted",Samoa Airways
San Marino,SMR,12.46329,43.938418,null,,null,null
Sao Tome and Principe,STP,6.602138,0.239483,null,,null,null
Saudi Arabia,SAU,44.547567,24.125926,10.04.2020,2020,Saudia May 2020 International operations as of 10APR20,.Saudia
Scarborough Reef,xSR,117.780897,15.110537,null,,null,null
Senegal,SEN,-14.446465,14.366687,19.04.2020,2020,Air Senegal extends scheduled service suspension to 30JUN20,.Air Senegal
Senkaku Islands,xSK,123.475678,25.745757,null,,null,null
Serbia,SRB,20.803944,44.032994,20.03.2020,2020,Air Serbia suspends all operations,Air Serbia
Seychelles,SYC,55.467266,-4.678402,20.04.2020,2020,Air Seychelles suspends scheduled passenger service 10APR20 – 30APR20,Air Seychelles
Sierra Leone,SLE,-11.779615,8.569795,null,,null,null
Singapore,SGP,103.810539,1.357382,25.04.2020,2020,Singapore Airlines extends flight cancelations to June,Singapore Airlines
Sint Eustatius,ANT,-62.976086,17.490469,null,,null,null
Sint Maarten,SXM,-63.055268,18.043675,null,,null,null
Slovakia,SVK,19.484954,48.707416,null,,null,null
Slovenia,SVN,14.822232,46.119709,null,,null,null
Solomon Islands,SLB,160.160046,-9.622475,08.04.2020,2020,Solomon Airlines week of 12APR20 domestic operations as of 05APR20,.Solomon Airlines
Somalia,SOM,46.204698,4.409471,null,,null,null
South Africa,ZAF,24.669618,-29.999172,30.04.2020,2020,Comair expects to remain grounded until at least October ,Comair
South Georgia and the South Sandwich Islands,SGS,-36.678835,-54.378486,null,,null,null
South Sudan,SSD,30.326187,7.290839,null,,null,null
Sovereignty unsettled,xxx,35.17027,31.739991,null,,null,null
