location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy
Aruba,106766,584.8,41.2,13.085,7.452,35973.781,76.29
Afghanistan,38928341,54.422,18.6,2.581,1.337,1803.987,64.83
Angola,32866268,23.89,16.8,2.405,1.362,5819.495,61.15
Anguilla,15002,,,,,,81.88
Albania,2877800,104.871,38,13.188,8.643,11803.431,78.57
Andorra,77265,163.755,,,,,83.73
United Arab Emirates,9890400,112.442,34,1.144,0.526,67293.483,77.97
Argentina,45195777,16.177,31.9,11.198,7.441,18933.907,76.67
Armenia,2963234,102.931,35.7,11.232,7.571,8787.58,75.09
Antigua and Barbuda,97928,231.845,32.1,6.933,4.631,21490.943,77.02
Australia,25499881,3.202,37.9,15.504,10.129,44648.71,83.44
Austria,9006400,106.749,44.4,19.202,13.748,45436.686,81.54
Azerbaijan,10139175,119.309,32.4,6.018,3.871,15847.419,73
Burundi,11890781,423.062,17.5,2.562,1.504,702.225,61.58
Belgium,11589616,375.564,41.8,18.571,12.849,42658.576,81.63
Benin,12123198,99.11,18.8,3.244,1.942,2064.236,61.77
Bonaire Sint Eustatius and Saba,26221,,,,,,77.79
Burkina Faso,20903278,70.151,17.6,2.409,1.358,1703.102,61.58
Bangladesh,164689383,1265.036,27.5,5.098,3.262,3523.984,72.59
Bulgaria,6948445,65.18,44.7,20.801,13.272,18563.307,75.05
Bahrain,1701583,1935.907,32.4,2.372,1.387,43290.705,77.29
Bahamas,393248,39.497,34.3,8.996,5.2,27717.847,73.92
Bosnia and Herzegovina,3280815,68.496,42.5,16.569,10.711,11713.895,77.4
Belarus,9449321,46.858,40.3,14.799,9.788,17167.967,74.79
Belize,397621,16.426,25,3.853,2.279,7824.362,74.62
Bermuda,62273,1308.82,,,,50669.315,82.59
Bolivia,11673029,10.202,25.4,6.704,4.393,6885.829,71.51
Brazil,212559409,25.04,33.5,8.552,5.06,14103.452,75.88
Barbados,287371,664.463,39.8,14.952,9.473,16978.068,79.19
