EVENT_ID_CNTY,EVENT_DATE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,SOURCE_SCALE,FATALITIES
XKX325,13-Mar-20,Strategic developments,Change to group/activity,Government of Kosovo (2020-),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX326,19-Mar-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,International,0
XKX327,20-Mar-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX328,21-Mar-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX329,21-Mar-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Peja,42.659,20.288,National,0
XKX330,21-Mar-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Fushe Kosove,42.638,21.093,National,0
XKX331,22-Mar-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX333,25-Mar-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX334,03-Apr-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Podujeva,42.911,21.196,National,0
XKX335,11-Apr-20,Strategic developments,Arrests,Police Forces of Kosovo (2020-),Europe,Kosovo,North Mitrovica,42.895,20.865,International,0
XKX340,19-May-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,Regional,0
XKX346,04-Jun-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX348,15-Jun-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX351,22-Jun-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX360,15-Jul-20,Riots,Mob violence,Rioters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX364,23-Jul-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Gjilan,42.469,21.463,National,0
XKX365,27-Jul-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,International,0
XKX367,03-Aug-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX370,14-Aug-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX371,26-Aug-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
XKX373,07-Sep-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Podujeva,42.911,21.196,National,0
XKX374,11-Sep-20,Protests,Peaceful protest,Protesters (Kosovo),Europe,Kosovo,Pristina,42.667,21.172,National,0
AFG44949,22-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Nili,33.722,66.13,National,0
AFG44932,25-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Zaranj,30.967,61.883,International,0
AFG44930,25-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Farah,32.374,62.116,International,0
AFG44931,25-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Herat,34.348,62.2,International,0
AFG44951,26-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kandahar,31.613,65.71,National,0
AFG44950,26-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Asadabad,34.873,71.147,National,0
AFG44929,27-Mar-20,Strategic developments,Other,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,National-International,0
AFG44928,28-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,National,0
AFG44952,30-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Ghazni,33.551,68.422,National,0
AFG45014,30-Mar-20,Riots,Mob violence,Rioters (Afghanistan),Caucasus and Central Asia,Afghanistan,Herat,34.348,62.2,National,0
AFG44953,31-Mar-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Fayzabad,36.824,66.458,National,0
AFG45054,08-Apr-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Bagram,34.967,69.265,Other-National,0
AFG45677,09-Apr-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Bagram,34.967,69.265,Other-New media,0
AFG45134,11-Apr-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Bagram,34.967,69.265,Other-National,0
AFG45676,12-Apr-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Bagram,34.967,69.265,Other-New media,0
AFG45186,15-Apr-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kandahar,31.613,65.71,National,0
AFG45247,21-Apr-20,Strategic developments,Change to group/activity,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,National,0
AFG45675,21-Apr-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,Other-New media,0
AFG45674,22-Apr-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,Other-New media,0
AFG45673,23-Apr-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,Other-New media,0
AFG45341,28-Apr-20,Protests,Peaceful protest,Protesters (Afghanistan),Caucasus and Central Asia,Afghanistan,Mazar-e Sharif,36.709,67.111,National,0
AFG45431,02-May-20,Strategic developments,Agreement,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Pul-e Charkhi Kuhnah,34.544,69.351,Other-New media,0
AFG45867,05-May-20,Protests,Peaceful protest,Protesters (Afghanistan),Caucasus and Central Asia,Afghanistan,Shinwar,34.196,70.832,Subnational,0
AFG45541,05-May-20,Protests,Peaceful protest,Protesters (Afghanistan),Caucasus and Central Asia,Afghanistan,Shinwar,34.196,70.832,National,0
AFG45449,05-May-20,Strategic developments,Other,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,National,0
AFG45543,06-May-20,Strategic developments,Other,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Pul-e Charkhi Kuhnah,34.544,69.351,National,0
AFG45756,07-May-20,Protests,Peaceful protest,Protesters (Afghanistan),Caucasus and Central Asia,Afghanistan,Jalalabad,34.426,70.452,Subnational,0
AFG45540,09-May-20,Strategic developments,Other,Government of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Bagram,34.967,69.265,National,0
AFG45509,09-May-20,Riots,Violent demonstration,Rioters (Afghanistan),Caucasus and Central Asia,Afghanistan,Chaghcharan,34.52,65.251,Local partner-New media,6
AFG46027,31-May-20,Protests,Peaceful protest,Protesters (Afghanistan),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,National,0
AFG46241,25-Jun-20,Protests,Peaceful protest,Protesters (Afghanistan),Caucasus and Central Asia,Afghanistan,Kabul,34.517,69.183,International,0
AFG46445,08-Jul-20,Protests,Peaceful protest,Protesters (Afghanistan),Caucasus and Central Asia,Afghanistan,Kandahar,31.613,65.71,Subnational,0
AFG46781,30-Jul-20,Battles,Armed clash,Military Forces of Afghanistan (2014-),Caucasus and Central Asia,Afghanistan,Spin Boldak,31.006,66.4,Other-National,22
ALB657,13-Mar-20,Strategic developments,Other,Government of Albania (2013-),Europe,Albania,Tirana,41.328,19.819,Regional,0
ALB660,19-Mar-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Vlore,40.467,19.49,National,0
ALB659,19-Mar-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Elbasan,41.112,20.082,National,0
ALB661,22-Mar-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Tirana,41.328,19.819,National,0
ALB662,26-Mar-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Durres,41.323,19.441,National,0
ALB663,28-Mar-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Durres,41.323,19.441,National,0
ALB664,09-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Tirana,41.328,19.819,National,0
ALB665,09-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Tirana,41.328,19.819,National,0
ALB670,14-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Fier,40.724,19.556,National,0
ALB667,15-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Vlore,40.467,19.49,National,0
ALB669,15-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Elbasan,41.112,20.082,National,0
ALB672,16-Apr-20,Violence against civilians,Attack,Police Forces of Albania (2013-),Europe,Albania,Vlore,40.467,19.49,National,0
ALB671,17-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Kamez,41.382,19.76,National,0
ALB666,17-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Durres,41.323,19.441,National,0
ALB668,17-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Vlore,40.467,19.49,National,0
ALB673,20-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Fier,40.724,19.556,National,0
ALB674,22-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Berat,40.7,19.95,National,0
ALB675,24-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Topoje,40.763,19.433,National,0
ALB676,24-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Durres,41.323,19.441,National,0
ALB678,27-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Fier,40.724,19.556,National,0
ALB677,27-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Shkoder,42.068,19.513,National,0
ALB679,28-Apr-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Korce,40.619,20.781,National,0
ALB681,01-May-20,Protests,Protest with intervention,Protesters (Albania),Europe,Albania,Fier,40.724,19.556,National,0
ALB680,01-May-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Durres,41.323,19.441,National,0
ALB683,04-May-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Fier,40.724,19.556,National,0
ALB682,04-May-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Sarande,39.876,20.005,National,0
ALB684,04-May-20,Protests,Peaceful protest,Protesters (Albania),Europe,Albania,Shkoder,42.068,19.513,National,0
